-103.981	4997.19	-103.981	4997.19	-103.981	4997.19	-103.981	4997.19	105.98	-4997.08	
-105.98	4997.08	-105.98	4997.08	-105.98	4997.08	-105.98	4997.08	107.978	-4996.97	
-107.978	4996.97	-107.978	4996.97	-107.978	4996.97	-107.978	4996.97	109.977	-4996.86	
-109.977	4996.86	-109.977	4996.86	-109.977	4996.86	-109.977	4996.86	111.976	-4996.75	
-111.976	4996.75	-111.976	4996.75	-111.976	4996.75	-111.976	4996.75	113.975	-4996.63	
-113.975	4996.63	-113.975	4996.63	-113.975	4996.63	-113.975	4996.63	115.973	-4996.52	
-115.973	4996.52	-115.973	4996.52	-115.973	4996.52	-115.973	4996.52	117.972	-4996.4	
-117.972	4996.4	-117.972	4996.4	-117.972	4996.4	-117.972	4996.4	119.97	-4996.28	
-119.97	4996.28	-119.97	4996.28	-119.97	4996.28	-119.97	4996.28	121.969	-4996.15	
-121.969	4996.15	-121.969	4996.15	-121.969	4996.15	-121.969	4996.15	123.967	-4996.03	
-123.967	4996.03	-123.967	4996.03	-123.967	4996.03	-123.967	4996.03	125.966	-4995.9	
-125.966	4995.9	-125.966	4995.9	-125.966	4995.9	-125.966	4995.9	127.964	-4995.77	
-127.964	4995.77	-127.964	4995.77	-127.964	4995.77	-127.964	4995.77	129.963	-4995.64	
-129.962	4995.64	-129.962	4995.64	-129.962	4995.64	-129.962	4995.64	131.961	-4995.51	
-131.961	4995.51	-131.961	4995.51	-131.961	4995.51	-131.961	4995.51	133.959	-4995.37	
-133.959	4995.37	-133.959	4995.37	-133.959	4995.37	-133.959	4995.37	135.957	-4995.23	
-135.957	4995.23	-135.957	4995.23	-135.957	4995.23	-135.957	4995.23	137.955	-4995.1	
-137.955	4995.1	-137.955	4995.1	-137.955	4995.1	-137.955	4995.1	139.953	-4994.95	
-139.953	4994.95	-139.953	4994.95	-139.953	4994.95	-139.953	4994.95	141.951	-4994.81	
-141.951	4994.81	-141.951	4994.81	-141.951	4994.81	-141.951	4994.81	143.949	-4994.67	
-143.949	4994.67	-143.949	4994.67	-143.949	4994.67	-143.949	4994.67	145.947	-4994.52	
-145.947	4994.52	-145.947	4994.52	-145.947	4994.52	-145.947	4994.52	147.945	-4994.37	
-147.945	4994.37	-147.945	4994.37	-147.945	4994.37	-147.945	4994.37	149.943	-4994.22	
-149.942	4994.22	-149.942	4994.22	-149.942	4994.22	-149.942	4994.22	151.94	-4994.06	
-151.94	4994.06	-151.94	4994.06	-151.94	4994.06	-151.94	4994.06	153.938	-4993.91	
-153.938	4993.91	-153.938	4993.91	-153.938	4993.91	-153.938	4993.91	155.935	-4993.75	
-155.935	4993.75	-155.935	4993.75	-155.935	4993.75	-155.935	4993.75	157.933	-4993.59	
-157.933	4993.59	-157.933	4993.59	-157.933	4993.59	-157.933	4993.59	159.93	-4993.43	
-159.93	4993.43	-159.93	4993.43	-159.93	4993.43	-159.93	4993.43	161.928	-4993.27	
-161.928	4993.27	-161.928	4993.27	-161.928	4993.27	-161.928	4993.27	163.925	-4993.1	
-163.925	4993.1	-163.925	4993.1	-163.925	4993.1	-163.925	4993.1	165.922	-4992.94	
-165.922	4992.94	-165.922	4992.94	-165.922	4992.94	-165.922	4992.94	167.919	-4992.77	
-167.919	4992.77	-167.919	4992.77	-167.919	4992.77	-167.919	4992.77	169.917	-4992.6	
-169.916	4992.6	-169.916	4992.6	-169.916	4992.6	-169.916	4992.6	171.914	-4992.42	
-171.914	4992.42	-171.914	4992.42	-171.914	4992.42	-171.914	4992.42	173.911	-4992.25	
-173.91	4992.25	-173.91	4992.25	-173.91	4992.25	-173.91	4992.25	175.907	-4992.07	
-175.907	4992.07	-175.907	4992.07	-175.907	4992.07	-175.907	4992.07	177.904	-4991.89	
-177.904	4991.89	-177.904	4991.89	-177.904	4991.89	-177.904	4991.89	179.901	-4991.71	
-179.901	4991.71	-179.901	4991.71	-179.901	4991.71	-179.901	4991.71	181.898	-4991.53	
-181.898	4991.53	-181.898	4991.53	-181.898	4991.53	-181.898	4991.53	183.894	-4991.34	
-183.894	4991.34	-183.894	4991.34	-183.894	4991.34	-183.894	4991.34	185.891	-4991.15	
-185.891	4991.15	-185.891	4991.15	-185.891	4991.15	-185.891	4991.15	187.887	-4990.96	
-187.887	4990.96	-187.887	4990.96	-187.887	4990.96	-187.887	4990.96	189.884	-4990.77	
-189.884	4990.77	-189.884	4990.77	-189.884	4990.77	-189.884	4990.77	191.88	-4990.58	
-191.88	4990.58	-191.88	4990.58	-191.88	4990.58	-191.88	4990.58	193.876	-4990.38	
-193.876	4990.38	-193.876	4990.38	-193.876	4990.38	-193.876	4990.38	195.872	-4990.19	
-195.872	4990.19	-195.872	4990.19	-195.872	4990.19	-195.872	4990.19	197.868	-4989.99	
-197.868	4989.99	-197.868	4989.99	-197.868	4989.99	-197.868	4989.99	199.864	-4989.79	
-199.864	4989.79	-199.864	4989.79	-199.864	4989.79	-199.864	4989.79	201.86	-4989.58	
-201.86	4989.58	-201.86	4989.58	-201.86	4989.58	-201.86	4989.58	203.856	-4989.38	
-203.856	4989.38	-203.856	4989.38	-203.856	4989.38	-203.856	4989.38	205.852	-4989.17	
-205.852	4989.17	-205.852	4989.17	-205.852	4989.17	-205.852	4989.17	207.848	-4988.96	
-207.847	4988.96	-207.847	4988.96	-207.847	4988.96	-207.847	4988.96	209.843	-4988.75	
-209.843	4988.75	-209.843	4988.75	-209.843	4988.75	-209.843	4988.75	211.839	-4988.54	
-211.839	4988.54	-211.839	4988.54	-211.839	4988.54	-211.839	4988.54	213.834	-4988.32	
-213.834	4988.32	-213.834	4988.32	-213.834	4988.32	-213.834	4988.32	215.829	-4988.1	
-215.829	4988.1	-215.829	4988.1	-215.829	4988.1	-215.829	4988.1	217.825	-4987.88	
-217.824	4987.88	-217.824	4987.88	-217.824	4987.88	-217.824	4987.88	219.82	-4987.66	
-219.82	4987.66	-219.82	4987.66	-219.82	4987.66	-219.82	4987.66	221.815	-4987.44	
-221.815	4987.44	-221.815	4987.44	-221.815	4987.44	-221.815	4987.44	223.81	-4987.21	
-223.81	4987.21	-223.81	4987.21	-223.81	4987.21	-223.81	4987.21	225.805	-4986.99	
-225.804	4986.99	-225.804	4986.99	-225.804	4986.99	-225.804	4986.99	227.799	-4986.76	
-227.799	4986.76	-227.799	4986.76	-227.799	4986.76	-227.799	4986.76	229.794	-4986.52	
-229.794	4986.52	-229.794	4986.52	-229.794	4986.52	-229.794	4986.52	231.789	-4986.29	
-231.789	4986.29	-231.789	4986.29	-231.789	4986.29	-231.789	4986.29	233.783	-4986.06	
-233.783	4986.06	-233.783	4986.06	-233.783	4986.06	-233.783	4986.06	235.778	-4985.82	
-235.777	4985.82	-235.777	4985.82	-235.777	4985.82	-235.777	4985.82	237.772	-4985.58	
-237.772	4985.58	-237.772	4985.58	-237.772	4985.58	-237.772	4985.58	239.766	-4985.34	
-239.766	4985.34	-239.766	4985.34	-239.766	4985.34	-239.766	4985.34	241.76	-4985.09	
-241.76	4985.09	-241.76	4985.09	-241.76	4985.09	-241.76	4985.09	243.754	-4984.85	
-243.754	4984.85	-243.754	4984.85	-243.754	4984.85	-243.754	4984.85	245.748	-4984.6	
-245.748	4984.6	-245.748	4984.6	-245.748	4984.6	-245.748	4984.6	247.742	-4984.35	
-247.742	4984.35	-247.742	4984.35	-247.742	4984.35	-247.742	4984.35	249.736	-4984.1	
-249.736	4984.1	-249.736	4984.1	-249.736	4984.1	-249.736	4984.1	251.729	-4983.85	
-251.729	4983.85	-251.729	4983.85	-251.729	4983.85	-251.729	4983.85	253.723	-4983.59	
-253.723	4983.59	-253.723	4983.59	-253.723	4983.59	-253.723	4983.59	255.716	-4983.33	
-255.716	4983.33	-255.716	4983.33	-255.716	4983.33	-255.716	4983.33	257.71	-4983.07	
-257.71	4983.07	-257.71	4983.07	-257.71	4983.07	-257.71	4983.07	259.703	-4982.81	
-259.703	4982.81	-259.703	4982.81	-259.703	4982.81	-259.703	4982.81	261.696	-4982.55	
-261.696	4982.55	-261.696	4982.55	-261.696	4982.55	-261.696	4982.55	263.689	-4982.28	
-263.689	4982.28	-263.689	4982.28	-263.689	4982.28	-263.689	4982.28	265.682	-4982.02	
-265.682	4982.02	-265.682	4982.02	-265.682	4982.02	-265.682	4982.02	267.675	-4981.75	
-267.674	4981.75	-267.674	4981.75	-267.674	4981.75	-267.674	4981.75	269.667	-4981.47	
-269.667	4981.47	-269.667	4981.47	-269.667	4981.47	-269.667	4981.47	271.66	-4981.2	
-271.66	4981.2	-271.66	4981.2	-271.66	4981.2	-271.66	4981.2	273.652	-4980.93	
-273.652	4980.93	-273.652	4980.93	-273.652	4980.93	-273.652	4980.93	275.645	-4980.65	
-275.645	4980.65	-275.645	4980.65	-275.645	4980.65	-275.645	4980.65	277.637	-4980.37	
-277.637	4980.37	-277.637	4980.37	-277.637	4980.37	-277.637	4980.37	279.629	-4980.09	
-279.629	4980.09	-279.629	4980.09	-279.629	4980.09	-279.629	4980.09	281.621	-4979.8	
-281.621	4979.8	-281.621	4979.8	-281.621	4979.8	-281.621	4979.8	283.613	-4979.52	
-283.613	4979.52	-283.613	4979.52	-283.613	4979.52	-283.613	4979.52	285.605	-4979.23	
-285.605	4979.23	-285.605	4979.23	-285.605	4979.23	-285.605	4979.23	287.596	-4978.94	
-287.596	4978.94	-287.596	4978.94	-287.596	4978.94	-287.596	4978.94	289.588	-4978.65	
-289.588	4978.65	-289.588	4978.65	-289.588	4978.65	-289.588	4978.65	291.579	-4978.35	
-291.579	4978.35	-291.579	4978.35	-291.579	4978.35	-291.579	4978.35	293.571	-4978.06	
-293.571	4978.06	-293.571	4978.06	-293.571	4978.06	-293.571	4978.06	295.562	-4977.76	
-295.562	4977.76	-295.562	4977.76	-295.562	4977.76	-295.562	4977.76	297.553	-4977.46	
-297.553	4977.46	-297.553	4977.46	-297.553	4977.46	-297.553	4977.46	299.544	-4977.16	
-299.544	4977.16	-299.544	4977.16	-299.544	4977.16	-299.544	4977.16	301.535	-4976.86	
-301.535	4976.85	-301.535	4976.85	-301.535	4976.85	-301.535	4976.85	303.525	-4976.55	
-303.525	4976.55	-303.525	4976.55	-303.525	4976.55	-303.525	4976.55	305.516	-4976.24	
-305.516	4976.24	-305.516	4976.24	-305.516	4976.24	-305.516	4976.24	307.507	-4975.93	
-307.506	4975.93	-307.506	4975.93	-307.506	4975.93	-307.506	4975.93	309.497	-4975.62	
-309.497	4975.62	-309.497	4975.62	-309.497	4975.62	-309.497	4975.62	311.487	-4975.31	
-311.487	4975.31	-311.487	4975.31	-311.487	4975.31	-311.487	4975.31	313.477	-4974.99	
-313.477	4974.99	-313.477	4974.99	-313.477	4974.99	-313.477	4974.99	315.467	-4974.67	
-315.467	4974.67	-315.467	4974.67	-315.467	4974.67	-315.467	4974.67	317.457	-4974.35	
